Status,Date,Time
Close,2022-02-28,12:35:07
Open,2022-02-28,13:45:10
Open,2022-02-28,15:15:09
Open,2022-02-28,15:35:05
Open,2022-03-01,09:25:06
Close,2022-03-01,10:10:09
Open,2022-03-01,10:35:08
Open,2022-03-01,12:35:05
Open,2022-03-01,13:00:08
Close,2022-03-01,14:25:05
Open,2022-03-01,18:30:05
Close,2022-03-02,09:00:08
Open,2022-03-02,09:05:07
Close,2022-03-02,10:15:07
Open,2022-03-02,14:00:08
Open,2022-03-02,14:05:07
Close,2022-03-02,14:30:07
Open,2022-03-02,17:45:09
Open,2022-03-03,09:10:09
Open,2022-03-03,09:20:09
Close,2022-03-03,09:40:09
Open,2022-03-03,11:30:09
Close,2022-03-03,12:05:06
Open,2022-03-04,07:10:11
Close,2022-03-04,07:35:08
Open,2022-03-04,14:05:08
Close,2022-03-04,14:50:08
Open,2022-03-04,15:20:12
Open,2022-03-07,08:30:06
Close,2022-03-07,09:00:10
Open,2022-03-07,09:05:05
Open,2022-03-07,09:25:08
Open,2022-03-07,09:35:06
Open,2022-03-07,10:05:07
Close,2022-03-07,10:55:09
Open,2022-03-07,12:10:06
Open,2022-03-07,13:25:07
Open,2022-03-07,13:30:07
Close,2022-03-07,13:45:05
Close,2022-03-07,13:55:07
Open,2022-03-07,14:00:05
Close,2022-03-07,14:20:08
Open,2022-03-07,14:30:09
Close,2022-03-07,15:20:08
Open,2022-03-08,07:05:06
Open,2022-03-08,07:45:09
Open,2022-03-08,07:55:08
Open,2022-03-08,09:00:08
Close,2022-03-08,09:10:05
Open,2022-03-08,09:15:08
Open,2022-03-08,10:00:08
Close,2022-03-08,10:05:05
Open,2022-03-08,12:05:17
Close,2022-03-08,12:15:11
Close,2022-03-08,12:30:08
Open,2022-03-08,13:00:06
Close,2022-03-08,13:05:08
Open,2022-03-08,13:10:09
Close,2022-03-08,13:15:05
Open,2022-03-08,13:20:06
Close,2022-03-08,13:25:08
Open,2022-03-08,14:15:08
Open,2022-03-08,14:35:06
Open,2022-03-08,15:05:05
Close,2022-03-08,15:10:08
Close,2022-03-08,18:15:08
Open,2022-03-08,18:20:09
Open,2022-03-09,08:00:06
Open,2022-03-09,08:40:11
Open,2022-03-09,09:05:08
Open,2022-03-09,09:50:08
Close,2022-03-09,10:00:09
Close,2022-03-09,10:05:08
Open,2022-03-09,10:35:07
Open,2022-03-09,13:00:11
Open,2022-03-09,14:20:05
Open,2022-03-09,15:00:12
Open,2022-03-09,15:05:08
Close,2022-03-09,16:00:07
Open,2022-03-09,18:15:11
Open,2022-03-10,08:00:07
Close,2022-03-10,08:40:10
Open,2022-03-10,08:45:05
Open,2022-03-10,09:05:05
Open,2022-03-10,11:00:08
Open,2022-03-10,11:25:07
Open,2022-03-10,11:30:07
Open,2022-03-10,12:05:05
Open,2022-03-10,13:10:10
Open,2022-03-10,13:15:06
Close,2022-03-10,13:25:05
Open,2022-03-10,13:30:09
Close,2022-03-10,15:10:08
Open,2022-03-10,15:15:08
Close,2022-03-10,15:50:08
Open,2022-03-10,16:10:05
Close,2022-03-10,17:55:07
Open,2022-03-10,18:00:05
Open,2022-03-11,09:00:08
Open,2022-03-11,09:55:09
Open,2022-03-11,14:05:06
Open,2022-03-11,14:25:10
Open,2022-03-11,14:35:09
Open,2022-03-14,09:00:13
Open,2022-03-14,09:20:09
Open,2022-03-14,10:15:11
Open,2022-03-14,10:30:13
Open,2022-03-14,12:25:13
Open,2022-03-14,13:05:07
Open,2022-03-14,14:05:12
Open,2022-03-14,14:20:12
Open,2022-03-14,14:30:14
Open,2022-03-14,15:45:17
Close,2022-03-15,08:05:06
Open,2022-03-15,08:10:05
Open,2022-03-15,08:45:07
Open,2022-03-15,08:50:05
Close,2022-03-15,09:00:06
Open,2022-03-15,10:05:04
Close,2022-03-15,11:05:08
Open,2022-03-15,11:30:08
Close,2022-03-15,11:40:05
Open,2022-03-15,13:40:08
Close,2022-03-15,13:55:06
Open,2022-03-15,14:00:08
Close,2022-03-15,15:30:05
Open,2022-03-15,16:25:07
Close,2022-03-16,08:00:07
Open,2022-03-16,08:05:06
Close,2022-03-16,08:25:07
Open,2022-03-16,13:05:07
Open,2022-03-16,13:45:07
Close,2022-03-16,13:50:10
Open,2022-03-16,13:55:06
Open,2022-03-16,14:00:05
Open,2022-03-16,14:10:05
Open,2022-03-16,14:35:07
Open,2022-03-16,14:40:07
Open,2022-03-16,14:45:05
Close,2022-03-16,14:55:04
Close,2022-03-16,15:05:08
Open,2022-03-16,18:05:04
Close,2022-03-17,13:00:08
Open,2022-03-17,13:05:06
Close,2022-03-17,13:15:08
Open,2022-03-17,13:20:09
Open,2022-03-17,14:30:08
Open,2022-03-17,14:50:07
Open,2022-03-18,17:45:05
Open,2022-03-22,08:30:06
Close,2022-03-22,09:00:04
Open,2022-03-22,09:05:04
Close,2022-03-22,09:30:07
